genres,id,imdb_id,original_title,overview,poster_path,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,backdrop_path,cast,crew,keywords
"[""Animation"", ""Comedy"", ""Family""]",862,tt0114709,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,10/30/1995,373554033,81,"[""English""]",,Toy Story,7.7,5415,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,"[""Tom Hanks"", ""Tim Allen"", ""Don Rickles"", ""Jim Varney"", ""Wallace Shawn"", ""John Ratzenberger"", ""Annie Potts"", ""John Morris"", ""Erik von Detten"", ""Laurie Metcalf"", ""R. Lee Ermey"", ""Sarah Freeman"", ""Penn Jillette""]","[""John Lasseter"", ""Bonnie Arnold"", ""Ed Catmull"", ""Ralph Guggenheim"", ""Steve Jobs""]","[""jealousy"", ""toy"", ""boy"", ""friendship"", ""friends"", ""rivalry"", ""boy next door"", ""new toy"", ""toy comes to life""]"
"[""Adventure"", ""Fantasy"", ""Family""]",8844,tt0113497,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,12/15/1995,262797249,104,"[""English"", ""Français""]",Roll the dice and unleash the excitement!,Jumanji,6.9,2413,/pYw10zrqfkdm3yD9JTO6vEGQhKy.jpg,"[""Robin Williams"", ""Jonathan Hyde"", ""Kirsten Dunst"", ""Bradley Pierce"", ""Bonnie Hunt"", ""Bebe Neuwirth"", ""David Alan Grier"", ""Patricia Clarkson"", ""Adam Hann-Byrd"", ""Laura Bell Bundy"", ""James Handy"", ""Gillian Barber"", ""Brandon Obray"", ""Cyrus Thiedeke"", ""Gary Joseph Thorup"", ""Leonard Zola"", ""Lloyd Berry"", ""Malcolm Stewart"", ""Annabel Kershaw"", ""Darryl Henriques"", ""Robyn Driscoll"", ""Peter Bryant"", ""Sarah Gilson"", ""Florica Vlad"", ""June Lion"", ""Brenda Lockmuller""]","[""Larry J. Franco"", ""Joe Johnston"", ""Scott Kroopf"", ""Ted Field"", ""Robert W. Cort"", ""William Teitler""]","[""board game"", ""disappearance"", ""based on children's book"", ""new home"", ""recluse"", ""giant insect""]"
"[""Comedy""]",11862,tt0113041,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,2/10/1995,76578911,106,"[""English""]",Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,5.7,173,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg,"[""Steve Martin"", ""Diane Keaton"", ""Martin Short"", ""Kimberly Williams-Paisley"", ""George Newbern"", ""Kieran Culkin"", ""BD Wong"", ""Peter Michael Goetz"", ""Kate McGregor-Stewart"", ""Jane Adams"", ""Eugene Levy"", ""Lori Alan""]","[""Nancy Meyers"", ""Charles Shyer""]","[""baby"", ""midlife crisis"", ""confidence"", ""aging"", ""daughter"", ""mother daughter relationship"", ""pregnancy"", ""contraception"", ""gynecologist""]"
"[""Action"", ""Crime"", ""Drama"", ""Thriller""]",949,tt0113277,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,12/15/1995,187436818,170,"[""English"", ""Español""]",A Los Angeles Crime Saga,Heat,7.7,1886,/X7zKxmyrVmYCfcyvDgVLH8iNzA.jpg,"[""Al Pacino"", ""Robert De Niro"", ""Val Kilmer"", ""Jon Voight"", ""Tom Sizemore"", ""Diane Venora"", ""Amy Brenneman"", ""Ashley Judd"", ""Mykelti Williamson"", ""Natalie Portman"", ""Ted Levine"", ""Tom Noonan"", ""Tone Loc"", ""Hank Azaria"", ""Wes Studi"", ""Dennis Haysbert"", ""Danny Trejo"", ""Henry Rollins"", ""William Fichtner"", ""Kevin Gage"", ""Susan Traylor"", ""Jerry Trimble"", ""Ricky Harris"", ""Jeremy Piven"", ""Xander Berkeley"", ""Begonya Plaza"", ""Rick Avery"", ""Hazelle Goodman"", ""Ray Buktenica"", ""Max Daniels"", ""Vince Deadrick Jr."", ""Steven Ford"", ""Farrah Forke"", ""Patricia Healy"", ""Paul Herman"", ""Cindy Katz"", ""Brian Libby"", ""Dan Martin"", ""Mario Roberts"", ""Thomas Rosales, Jr."", ""Yvonne Zima"", ""Mick Gould"", ""Bud Cort"", ""Viviane Vives"", ""Kim Staunton"", ""Martin Ferrero"", ""Brad Baldridge"", ""Andrew Camuccio"", ""Kenny Endoso"", ""Kimberly Flynn"", ""Niki Harris"", ""Bill McIntosh"", ""Rick Marzan"", ""Terry Miller"", ""Daniel O'Haco"", ""Kai Soremekun"", ""Peter Blackwell"", ""Trevor Coppola"", ""Mary Kircher"", ""Darin Mangan"", ""Robert Miranda"", ""Manny Perry"", ""Iva Franks Singer"", ""Tim Werner"", ""Philip Ettington""]","[""Michael Mann"", ""Art Linson"", ""Michael Mann"", ""Pieter Jan Brugge"", ""Arnon Milchan""]","[""robbery"", ""detective"", ""bank"", ""obsession"", ""chase"", ""shooting"", ""thief"", ""honor"", ""murder"", ""suspense"", ""heist"", ""betrayal"", ""money"", ""gang"", ""cat and mouse"", ""criminal mastermind"", ""cult film"", ""ex-con"", ""heist movie"", ""one last job"", ""loner"", ""bank job"", ""neo-noir"", ""gun fight"", ""crime epic""]"
"[""Action"", ""Adventure"", ""Thriller""]",9091,tt0114576,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,12/22/1995,64350171,106,"[""English""]",Terror goes into overtime.,Sudden Death,5.5,174,/3QBW1kwihXnqhuxtVlQRHuPeYvf.jpg,"[""Jean-Claude Van Damme"", ""Powers Boothe"", ""Dorian Harewood"", ""Raymond J. Barry"", ""Ross Malinger"", ""Whittni Wright""]","[""Peter Hyams"", ""Moshe Diamant"", ""Anders P. Jensen"", ""Howard Baldwin""]","[""terrorist"", ""hostage"", ""explosive"", ""vice president""]"
"[""Comedy"", ""Drama"", ""Romance""]",9087,tt0112346,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,11/17/1995,107879496,106,"[""English""]",Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,199,/dYk6sE9nNy6ge0InSB2gJY9zcnM.jpg,"[""Michael Douglas"", ""Annette Bening"", ""Michael J. Fox"", ""Martin Sheen"", ""Anna Deavere Smith"", ""Shawna Waldron"", ""Samantha Mathis"", ""David Paymer"", ""Richard Dreyfuss"", ""Nina Siemaszko"", ""Wendie Malick"", ""Beau Billingslea"", ""Gail Strickland"", ""Joshua Malina"", ""Clement von Franckenstein"", ""John Mahoney"", ""John Mahon"", ""Gabriel Jarret""]","[""Rob Reiner"", ""Rob Reiner""]","[""white house"", ""usa president"", ""new love"", ""widower"", ""wildlife conservation""]"
"[""Family"", ""Animation"", ""Adventure""]",21032,tt0112453,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,12/22/1995,11348324,78,"[""English""]",Part Dog. Part Wolf. All Hero.,Balto,7.1,423,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,"[""Kevin Bacon"", ""Bob Hoskins"", ""Bridget Fonda"", ""Jim Cummings"", ""Phil Collins"", ""Juliette Brewer"", ""Jack Angel"", ""Danny Mann"", ""Robbie Rist"", ""Sandra Dickinson"", ""Frank Welker"", ""Miriam Margolyes"", ""Lola Bates-Campbell""]","[""Steven Spielberg"", ""Kathleen Kennedy"", ""Simon Wells""]","[""wolf"", ""dog-sledding race"", ""alaska"", ""dog"", ""goose"", ""bear attack"", ""dog sled"", ""frozen lake""]"
"[""Crime"", ""Comedy""]",5,tt0113101,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,12/9/1995,4300000,98,"[""English""]","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,539,/f2t4JbUvQIjUF5FstG1zZFAp02N.jpg,"[""Tim Roth"", ""Antonio Banderas"", ""Jennifer Beals"", ""Madonna"", ""Marisa Tomei"", ""Bruce Willis"", ""Quentin Tarantino"", ""Sammi Davis"", ""Amanda de Cadenet"", ""Valeria Golino"", ""Lili Taylor"", ""Lawrence Bender"", ""Ione Skye"", ""Alicia Witt"", ""David Proval"", ""Lana McKissack"", ""Tamlyn Tomita"", ""Kathy Griffin"", ""Paul Calderon"", ""Salma Hayek"", ""Patricia Vonne"", ""Danny Verduzco"", ""Kimberly Blair"", ""Marc Lawrence""]","[""Allison Anders"", ""Alexandre Rockwell"", ""Robert Rodriguez"", ""Quentin Tarantino"", ""Lawrence Bender"", ""Quentin Tarantino"", ""Alexandre Rockwell""]","[""hotel"", ""new year's eve"", ""witch"", ""bet"", ""hotel room"", ""sperm"", ""los angeles"", ""hoodlum"", ""woman director"", ""episode film""]"
"[""Crime"", ""Comedy"", ""Adventure""]",9273,tt0112281,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,11/10/1995,212385533,90,"[""English""]",New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,6.1,1128,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg,"[""Jim Carrey"", ""Ian McNeice"", ""Simon Callow"", ""Maynard Eziashi"", ""Bob Gunton"", ""Sophie Okonedo"", ""Tommy Davidson"", ""Adewale Akinnuoye-Agbaje"", ""Danny D. Daniels"", ""Sam Motoana Phillips"", ""Damon Standifer"", ""Andrew Steel"", ""Bruce Spence"", ""Tom Grunke"", ""Arsenio 'Sonny' Trinidad""]","[""Steve Oedekerk"", ""Gary Barber"", ""Bob Israel"", ""Andrew G. La Marca"", ""James G. Robinson""]","[""africa"", ""indigenous"", ""human animal relationship"", ""bat""]"
"[""Action"", ""Comedy"", ""Crime""]",11517,tt0113845,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,11/21/1995,35431113,103,"[""English""]","Get on, or GET OUT THE WAY!",Money Train,5.4,224,/gyaBJn7eR8Ol205wmT2Xpi6IuhA.jpg,"[""Wesley Snipes"", ""Woody Harrelson"", ""Jennifer Lopez"", ""Robert Blake"", ""Chris Cooper"", ""Joe Grifasi"", ""Scott Sowers"", ""Skipp Sudduth"", ""Aida Turturro"", ""Vincent Pastore"", ""Enrico Colantoni"", ""Bill Nunn"", ""Katie Gill"", ""Jeremy Roberts"", ""Joe Bacino""]","[""Joseph Ruben"", ""Neil Canton"", ""Tracy Barone"", ""Adam Fields"", ""Jon Peters"", ""Frederick S. Pierce""]","[""brother brother relationship"", ""subway"", ""new york city"", ""new york subway"", ""train robbery""]"
